"label_id","project_id","asset_id","type","is_seed","create_date","update_date","is_included","label_time","approved_by","model_version","is_changed"
c57f9452-b76e-42ce-adfd-19936082679e,"2d6e1d9a-3a57-45cb-81cf-bef1034ec8b7","39b0c803-7151-4a42-9378-0351e517fc14",image,false,"2020-07-05","2020-07-06",true,3.6809795,"8b06673f-b1b5-4a59-b3eb-b6f1ee1b4181",1,false
"52f575d2-ea12-48a2-9dc5-4f1af3218daa","26b80b68-dc58-4b9a-a962-67ec90b74f72",d291aff5-7fd6-4c30-b99f-4640c1427af5,image,false,"2020-07-05","2020-07-06",true,16.137823,daf63d39-2983-433d-bfdb-531704688434,1,true
"01418bd8-0adb-4119-b7ee-dbad9641b391","1c7304e5-2e63-4790-a33c-2e6e361a4516",aee4fce4-2899-4c8a-9ac7-13f8b918f960,image,false,"2020-07-05","2020-07-06",true,16.982466,"9c1be7df-4df8-4774-9b3b-7a5e39d1f51c",1,true
"840658f8-389b-44b7-b57c-5a9eebd48f92",d4cfacfb-b356-43b6-af1f-995917a6264b,"80a9ce25-a3fa-4079-89b2-87dcd78f3f22",image,false,"2020-07-05","2020-07-05",true,14.924495,"9c1be7df-4df8-4774-9b3b-7a5e39d1f51c",1,true
"8adbf5e7-7750-4c0a-a966-aeb8591723b2","5ae42ad3-fc01-4c99-a504-c376a7395489","52aa1638-c1a2-4590-92dd-1040cf6f1552",image,false,"2020-07-05","2020-07-05",true,4.999937,"9c1be7df-4df8-4774-9b3b-7a5e39d1f51c",1,false
"96e68122-b5e7-4684-8f43-56c5b8b560bc",b15a0999-c6d9-4cae-9bc9-6a2072c2c531,"8bcee20c-0b34-4a80-a080-e3a891c6d899",image,false,"2020-07-05","2020-07-05",true,11.959668,daf63d39-2983-433d-bfdb-531704688434,1,true
"6ddf3383-ff61-40b9-a779-af01be2288af","4e7654ee-358a-4d05-bac4-a279e542bceb",be07dd6a-663f-49db-ad18-6c89211566dd,image,false,"2020-07-05","2020-07-05",true,5.5196347,daf63d39-2983-433d-bfdb-531704688434,1,false
"092e3881-3e5d-442d-bcdb-7f75cc3f833a","4e7654ee-358a-4d05-bac4-a279e542bceb",a47fb4e3-1f9b-4e98-ae77-9258f27cd386,image,false,"2020-07-05","2020-07-05",true,6.1854157,"8b06673f-b1b5-4a59-b3eb-b6f1ee1b4181",1,false
f31be909-7146-4b7f-86c4-31da97395aff,b40d3027-c398-4b5f-a861-6586e89a2d01,"20484d79-a217-4ed9-b4c2-e1b632942523",image,false,"2020-07-05","2020-07-06",true,4.8583994,daf63d39-2983-433d-bfdb-531704688434,1,false
"0007b642-633c-4f86-9a24-73a682657aa5",b40d3027-c398-4b5f-a861-6586e89a2d01,d4de6472-3725-4501-abad-2d2ede63de65,image,false,"2020-07-05","2020-07-06",true,4.200806,daf63d39-2983-433d-bfdb-531704688434,1,false
